kota,kontak1,kontak2,puncak,kontak3,kontak4,jam,menit,detik,magnitude
Kefamenanu,10.39.37.3,0,12.14.05.2,0,13.49.34.2,3,9,56.9,0.976
Kalabahi,10.42.10.2,0,12.16.46.8,0,13.52.05.4,3,9,55.3,0.951
Atambua,10.41.01.0,0,12.15.41.9,0,13.51.06.5,3,10,5.5,0.977
Betun,10.40.16.4,0,12.14.54.8,0,13.50.21.5,3,10,5.1,0.987
Mamuju,10.47.00.3,0,12.16.26.0,0,13.47.48.7,3,0,48.5,0.707
Majene,10.44.51.8,0,12.14.45.4,0,13.46.46.7,3,1,54.9,0.727
Polewali,10.45.37.4,0,12.15.47.3,0,13.47.54.6,3,2,17.2,0.732
Mamasa,10.46.50.7,0,12.16.51.8,0,13.48.42.3,3,1,51.6,0.724
Pasangkayu,10.51.35.2,0,12.20.41.8,0,13.51.11.3,2,59,36.1,0.685
Tobadak,10.49.14.7,0,12.18.58.2,0,13.50.15.2,3,1,0.5,0.708
Makassar,10.41.26.8,0,12.12.18.9,0,13.45.31.3,3,4,4.5,0.772
Pattallassang,10.40.47.0,0,12.11.45.8,0,13.45.08.3,3,4,21.3,0.779
Sungguminasa,10.41.20.4,0,12.12.16.0,0,13.45.31.8,3,4,11.4,0.774
Pangkajene,10.42.19.8,0,12.13.14.7,0,13.46.21.9,3,4,2.0,0.769
Turikale,10.41.56.1,0,12.12.54.7,0,13.46.07.9,3,4,11.9,0.773
Barru,10.43.27.5,0,12.14.17.0,0,13.47.11.1,3,3,43.6,0.761
Parepare,10.44.26.2,0,12.15.08.4,0,13.47.49.2,3,3,23.0,0.753
Pinrang,10.45.00.2,0,12.15.38.4,0,13.48.11.6,3,3,11.4,0.749
Bontosunggu,10.40.34.2,0,12.11.52.5,0,13.45.30.7,3,4,56.5,0.791
Watan Sidenreng,10.44.50.3,0,12.15.37.7,0,13.48.18.9,3,3,28.6,0.754
Enrekang,10.45.42.3,0,12.16.21.9,0,13.48.50.3,3,3,8.0,0.747
Makale,10.47.04.9,0,12.17.37.0,0,13.49.48.3,3,2,43.4,0.738
Rantepao,10.47.24.9,0,12.17.56.3,0,13.50.04.1,3,2,39.2,0.736
Watansoppeng,10.43.55.5,0,12.14.58.7,0,13.47.58.8,3,4,3.3,0.766
Bantaeng,10.41.08.5,0,12.12.35.8,0,13.46.15.6,3,5,7.1,0.793
Sengkang,10.44.42.5,0,12.15.47.3,0,13.48.42.0,3,3,59.6,0.764
Bulukumba,10.41.25.3,0,12.13.03.7,0,13.46.49.0,3,5,23.7,0.799
Palopo,10.47.41.7,0,12.18.30.5,0,13.50.48.5,3,3,6.8,0.744
Balangnipa,10.42.31.1,0,12.14.04.9,0,13.47.38.1,3,5,7.0,0.790
Watampone,10.44.00.8,0,12.15.28.3,0,13.48.44.9,3,4,44.0,0.779
Masamba,10.49.02.9,0,12.19.47.5,0,13.51.50.9,3,2,47.9,0.737
Belopa,10.46.55.1,0,12.18.01.8,0,13.50.39.2,3,3,44.2,0.756
Benteng,10.40.28.1,0,12.12.26.8,0,13.46.33.4,3,6,5.3,0.817
Malili,10.49.50.6,0,12.21.17.6,0,13.53.43.9,3,3,53.2,0.756
Palu,10.52.53.4,0,12.22.21.0,0,13.52.55.1,3,0,1.8,0.691
Banawa,10.53.20.5,0,12.22.32.0,0,13.52.50.1,2,59,29.6,0.683
Sigi Biromaru,10.52.44.7,0,12.22.16.2,0,13.52.54.3,3,0,9.6,0.693
Parigi,10.53.26.8,0,12.23.06.9,0,13.53.45.3,3,0,18.5,0.695
Poso,10.52.33.3,0,12.23.06.5,0,13.54.31.1,3,1,57.8,0.721
Toli-Toli,10.59.17.0,0,12.28.23.6,0,13.57.46.0,2,58,29.0,0.669
Kolonodale,10.51.45.0,0,12.23.05.9,0,13.55.11.1,3,3,26.1,0.747
Buol,11.00.18.8,0,12.29.53.9,0,13.59.27.5,2,59,8.6,0.679
Ampana,10.54.50.9,0,12.25.53.0,0,13.57.17.4,3,2,26.5,0.729
Bungku,10.51.14.6,0,12.23.18.1,0,13.55.56.5,3,4,41.9,0.771
Luwuk,10.56.18.5,0,12.28.21.3,0,14.00.12.8,3,3,54.3,0.756
Salakan,10.56.05.2,0,12.28.41.4,0,14.00.56.3,3,4,51.1,0.775
Banggai,10.55.37.3,0,12.28.29.8,0,14.00.59.3,3,5,22.0,0.786
Kendari,10.48.22.4,0,12.21.22.2,0,13.55.02.3,3,6,40.0,0.816
Lasusua,10.47.20.2,0,12.18.55.6,0,13.51.49.5,3,4,29.3,0.770
Kolaka,10.46.54.2,0,12.19.15.8,0,13.52.44.5,3,5,50.3,0.798
Tirawuta,10.47.25.9,0,12.20.01.1,0,13.53.34.0,3,6,8.1,0.805
Rumbia,10.45.48.8,0,12.18.39.1,0,13.52.35.3,3,6,46.5,0.822
Unaaha,10.47.59.6,0,12.20.36.9,0,13.54.06.2,3,6,6.6,0.803
Wanggudu,10.48.55.3,0,12.21.29.3,0,13.54.48.3,3,5,53.0,0.798
Andolo,10.47.10.9,0,12.20.06.7,0,13.53.54.6,3,6,43.7,0.819
Laworo,10.46.24.8,0,12.19.36.2,0,13.53.40.3,3,7,15.4,0.834
Labungkari,10.45.16.4,0,12.18.34.2,0,13.52.51.8,3,7,35.4,0.845
Bau-Bau,10.44.56.1,0,12.18.19.1,0,13.52.42.5,3,7,46.5,0.851
Batauga,10.44.40.3,0,12.18.05.2,0,13.52.31.8,3,7,51.5,0.854
Raha,10.46.43.4,0,12.20.04.0,0,13.54.10.8,3,7,27.5,0.839
Pasarwajo,10.45.17.7,0,12.18.50.9,0,13.53.17.1,3,7,59.4,0.856
Langara,10.48.56.9,0,12.22.17.6,0,13.56.05.3,3,7,8.3,0.828
Buranga,10.47.27.8,0,12.21.06.5,0,13.55.17.6,3,7,49.8,0.849
Wangi-Wangi,10.46.45.3,0,12.20.43.2,0,13.55.10.8,3,8,25.5,0.868
Gorontalo,11.00.35.9,0,12.32.02.6,0,14.02.50.1,3,2,14.2,0.729
Marisa,10.58.59.1,0,12.29.32.1,0,13.59.58.6,3,0,59.5,0.706
Tilamuta,10.59.40.6,0,12.30.31.8,0,14.01.04.4,3,1,23.8,0.713
Kwandang,11.01.03.0,0,12.32.10.7,0,14.02.41.4,3,1,38.4,0.719
Limboto,11.00.45.5,0,12.32.04.7,0,14.02.45.9,3,2,0.4,0.725
Suwawa,11.00.46.8,0,12.32.16.7,0,14.03.04.6,3,2,17.8,0.730
Manado,11.05.36.6,0,12.37.48.9,0,14.08.16.6,3,2,39.9,0.744
Boroko,11.01.52.3,0,12.33.14.7,0,14.03.47.3,3,1,55.0,0.724
Lolak,11.02.48.5,0,12.34.47.8,0,14.05.35.0,3,2,46.5,0.741
Bolaang Uki,11.01.32.9,0,12.33.50.5,0,14.05.01.5,3,3,28.6,0.753
Kotamobagu,11.02.52.4,0,12.35.08.9,0,14.06.06.3,3,3,13.9,0.750
Amurang,11.04.31.6,0,12.36.43.3,0,14.07.21.5,3,2,49.9,0.745
Tutuyan,11.03.22.1,0,12.35.50.5,0,14.06.50.4,3,3,28.4,0.756
Ratahan,11.04.21.4,0,12.36.47.9,0,14.07.36.7,3,3,15.4,0.754
Tomohon,11.05.07.5,0,12.37.25.2,0,14.08.01.2,3,2,53.7,0.748
Tondano,11.05.12.4,0,12.37.34.2,0,14.08.11.7,3,2,59.2,0.750
Airmadidi,11.05.43.3,0,12.38.01.8,0,14.08.32.2,3,2,48.9,0.748
Bitung,11.05.59.3,0,12.38.26.8,0,14.09.00.0,3,3,0.8,0.752
Ondong Siau,11.09.45.1,0,12.41.27.2,0,14.10.55.0,3,1,9.9,0.726
Tahuna,11.12.20.4,0,12.43.28.3,0,14.12.09.1,2,59,48.7,0.708
Melonguane,11.15.05.9,0,12.46.42.5,0,14.15.12.5,3,0,6.7,0.722
Sofifi,12.07.52.4,0,13.42.07.4,0,15.13.20.3,3,5,28.0,0.816
Bobong,11.56.04.7,0,13.29.41.6,0,15.02.33.2,3,6,28.5,0.812
Sanana,11.58.26.8,0,13.33.01.1,0,15.06.00.3,3,7,33.5,0.847
Ternate,12.07.41.9,0,13.41.50.1,0,15.13.01.5,3,5,19.5,0.811
Soa-Siu,12.07.31.2,0,13.41.44.9,0,15.13.00.9,3,5,29.7,0.815
Jailolo,12.08.36.6,0,13.42.38.4,0,15.13.36.9,3,5,0.3,0.806
Labuha,12.04.20.4,0,13.39.11.3,0,15.11.18.5,3,6,58.1,0.846
Weda,12.07.23.0,0,13.41.58.9,0,15.13.27.0,3,6,4.0,0.831
Tobelo,12.11.06.9,0,13.45.02.3,0,15.15.30.5,3,4,23.6,0.801
Daruba,12.12.20.1,0,13.46.13.7,0,15.16.27.8,3,4,7.7,0.800
Maba,12.08.57.6,0,13.43.34.8,0,15.14.46.4,3,5,48.8,0.831
Ambon,11.58.28.4,0,13.34.25.8,0,15.07.57.1,3,9,28.7,0.929
Namrole,11.55.46.8,0,13.31.13.4,0,15.05.01.1,3,9,14.4,0.904
Namlea,11.57.27.9,0,13.32.55.4,0,15.06.27.4,3,8,59.5,0.898
Tiakur,11.48.27.6,0,13.24.17.1,0,14.58.59.6,3,10,32.0,0.995
Piru,11.59.54.2,0,13.35.45.2,0,15.09.01.1,3,9,6.9,0.915
Masohi,12.00.49.2,0,13.36.58.3,0,15.10.09.0,3,9,19.8,0.935
Bula,12.04.19.1,0,13.40.50.1,0,15.13.26.7,3,9,7.7,0.959
Saumlaki,11.56.17.5,0,13.32.42.6,0,15.05.55.4,3,9,38.0,0.930
Langgur,12.03.58.4,0,13.40.48.3,0,15.13.00.0,3,9,1.5,0.955
Tual,12.04.03.0,0,13.40.53.0,0,15.13.04.1,3,9,1.0,0.955
Dobo,12.07.14.2,0,13.43.59.8,0,15.15.17.8,3,8,3.6,0.927
Manokwari,12.16.42.2,0,13.53.11.7,0,15.23.19.2,3,6,37.0,0.969
Waisai,12.11.00.8,0,13.46.57.4,0,15.18.15.0,3,7,14.2,0.904
Sorong,12.10.53.9,0,13.47.05.5,0,15.18.27.4,3,7,33.5,0.923
Aimas,12.10.48.7,0,13.47.03.2,0,15.18.26.4,3,7,37.7,0.926
Teminabuan,12.11.07.8,0,13.47.35.9,0,15.18.56.0,3,7,48.2,0.948
Fef,12.13.24.4,0,13.49.37.5,0,15.20.29.4,3,7,5.0,0.927
Fakfak,12.08.31.6,0,13.45.17.8,0,15.17.04.0,3,8,32.4,0.988
Kumurkek,12.12.42.6,0,13.49.10.1,0,15.20.10.8,3,7,28.2,0.950
Bintuni,12.12.57.3,0,13.49.41.1,0,15.20.33.0,3,7,35.7,0.990
Kaimana,12.10.15.7,0,13.47.08.7,0,15.18.21.7,3,8,6.0,0.984
Anggi,12.15.16.4,0,13.51.52.5,0,15.22.17.2,3,7,0.8,0.978
Ransiki,12.15.41.1,0,13.52.18.8,0,15.22.36.4,3,6,55.4,0.986
Rasiei,12.13.46.0,0,13.50.34.3,0,15.21.05.3,3,7,19.2,0.989
Jayapura,12.29.31.8,0,14.04.47.8,0,15.30.44.6,3,1,12.8,0.907
Nabire,12.14.58.9,0,13.51.43.8,0,15.21.45.9,3,6,46.9,0.961
Sorendiweri,12.20.51.8,0,13.57.14.8,0,15.26.20.4,3,5,28.5,0.992
Kigamani,12.14.54.3,0,13.51.34.7,0,15.21.24.7,3,6,30.4,0.938
Biak,12.20.46.9,13.56.42.1,13.57.13.1,13.57.44.1,15.26.14.7,3,5,27.8,1.004
Serui,12.19.41.7,0,13.56.13.5,0,15.25.22.8,3,5,41.1,0.985
Tigi,12.15.32.3,0,13.52.09.7,0,15.21.47.7,3,6,15.4,0.933
Botawa,12.19.17.3,0,13.55.50.3,0,15.25.00.5,3,5,43.1,0.974
Enarotali,12.16.06.2,0,13.52.42.1,0,15.22.12.8,3,6,6.6,0.933
Timika,12.16.08.2,0,13.52.35.8,0,15.21.51.1,3,5,42.9,0.912
Sugapa,12.18.01.8,0,13.54.30.1,0,15.23.31.5,3,5,29.6,0.928
Ilaga,12.19.01.1,0,13.55.19.9,0,15.23.57.2,3,4,56.1,0.914
Kotamulia,12.20.25.6,0,13.56.39.2,0,15.24.57.5,3,4,31.9,0.915
Burmeso,12.23.12.3,0,13.59.23.9,0,15.27.23.9,3,4,11.7,0.948
Agats,12.17.26.5,0,13.53.26.5,0,15.21.50.7,3,4,24.2,0.872
Kenyam,12.19.53.5,0,13.55.55.2,0,15.24.00.2,3,4,6.7,0.889
Tiom,12.21.16.0,0,13.57.20.3,0,15.25.18.1,3,4,2.1,0.904
Karubaga,12.21.46.5,0,13.57.51.1,0,15.25.45.7,3,3,59.2,0.909
Sarmi,12.25.50.4,0,14.01.47.6,0,15.29.09.2,3,3,18.9,0.949
Wamena,12.22.13.8,0,13.58.07.3,0,15.25.42.3,3,3,28.5,0.893
Kobakma,12.23.18.2,0,13.59.11.0,0,15.26.37.4,3,3,19.2,0.901
Kepi,12.19.03.9,0,13.54.21.8,0,15.21.41.7,3,2,37.8,0.831
Elelim,12.24.02.8,0,13.59.46.6,0,15.26.55.1,3,2,52.3,0.893
Sumohai,12.23.04.1,0,13.58.42.0,0,15.25.50.1,3,2,46.0,0.876
Tanah Merah,12.22.28.1,0,13.57.26.7,0,15.23.54.9,3,1,26.7,0.827
Merauke,12.19.00.2,0,13.53.05.0,0,15.19.11.5,3,0,11.2,0.771
Sentani,12.28.59.5,0,14.04.21.0,0,15.30.28.4,3,1,28.9,0.910
Oksibil,12.25.22.4,0,14.00.27.6,0,15.26.38.8,3,1,16.4,0.852
Waris,12.29.07.7,0,14.04.21.3,0,15.30.16.9,3,1,9.2,0.898
